hour_minute,high,low,average,open,close
04:26,3.65e-06,3.65e-06,3.65e-06,3.65e-06,3.65e-06
04:37,3.64e-06,3.64e-06,3.64e-06,3.64e-06,3.64e-06
05:22,3.64e-06,3.64e-06,3.64e-06,3.64e-06,3.64e-06
09:43,3.61e-06,3.61e-06,3.61e-06,3.61e-06,3.61e-06
12:30,3.66e-06,3.66e-06,3.66e-06,3.66e-06,3.66e-06
12:31,3.71e-06,3.66e-06,3.6655555555555557e-06,3.71e-06,3.66e-06
12:32,3.71e-06,3.66e-06,3.6699999999999996e-06,3.66e-06,3.71e-06
12:39,3.64e-06,3.64e-06,3.64e-06,3.64e-06,3.64e-06
12:44,3.64e-06,3.64e-06,3.64e-06,3.64e-06,3.64e-06
12:55,3.64e-06,3.64e-06,3.64e-06,3.64e-06,3.64e-06
12:59,3.64e-06,3.63e-06,3.6333333333333334e-06,3.63e-06,3.64e-06
13:53,3.63e-06,3.63e-06,3.63e-06,3.63e-06,3.63e-06
15:28,3.59e-06,3.56e-06,3.5799999999999996e-06,3.56e-06,3.59e-06
18:44,3.58e-06,3.58e-06,3.58e-06,3.58e-06,3.58e-06
18:47,3.61e-06,3.61e-06,3.61e-06,3.61e-06,3.61e-06
18:48,3.61e-06,3.61e-06,3.61e-06,3.61e-06,3.61e-06
21:08,3.58e-06,3.58e-06,3.58e-06,3.58e-06,3.58e-06
21:09,3.63e-06,3.57e-06,3.5966666666666672e-06,3.57e-06,3.57e-06
23:25,3.61e-06,3.61e-06,3.61e-06,3.61e-06,3.61e-06
23:26,3.67e-06,3.63e-06,3.6524999999999998e-06,3.65e-06,3.65e-06
23:27,3.65e-06,3.61e-06,3.6350000000000003e-06,3.63e-06,3.61e-06
23:28,3.66e-06,3.63e-06,3.6485714285714285e-06,3.66e-06,3.63e-06
23:29,3.63e-06,3.59e-06,3.611428571428572e-06,3.63e-06,3.63e-06
23:30,3.66e-06,3.61e-06,3.642e-06,3.66e-06,3.61e-06
23:31,3.64e-06,3.62e-06,3.6333333333333334e-06,3.64e-06,3.64e-06
23:32,3.65e-06,3.62e-06,3.6359999999999996e-06,3.65e-06,3.64e-06
23:33,3.63e-06,3.63e-06,3.63e-06,3.63e-06,3.63e-06
23:34,3.58e-06,3.56e-06,3.5699999999999997e-06,3.56e-06,3.58e-06
00:26,3.63e-06,3.63e-06,3.63e-06,3.63e-06,3.63e-06
00:59,3.67e-06,3.67e-06,3.67e-06,3.67e-06,3.67e-06
01:01,3.71e-06,3.71e-06,3.71e-06,3.71e-06,3.71e-06
