id,exchange,symbol,date,price,amount,sell,fisher_transform,fft
183801844,bf,btceur,1517543087000,7242.3815232,0.01,True,0.0001380761291229673,(723.8631756308346+156.55177082204042j)
183801846,bf,btceur,1517543087000,7242.3815232,0.01,True,0.0001380761291229673,(1415.8389627683189+172.49099830416534j)
183802174,bf,btceur,1517543120000,7233.387968000001,0.00425333,True,0.0001382478045964779,(-301.9617645401046-157.2868198213298j)
183802199,bf,btceur,1517543121000,7233.387968000001,0.06075505,True,0.0001382478045964779,(-505.6961289308165+1095.0561251076088j)
183802210,bf,btceur,1517543121000,7233.387968000001,0.00243054,True,0.0001382478045964779,(-823.2085669658145+559.0348671845192j)
183802201,bf,btceur,1517543121000,7233.387968000001,0.033936,True,0.0001382478045964779,(1676.2636331313263+526.9433935062184j)
183802478,bf,btceur,1517543146000,7236.680251600001,0.02,True,0.00013818490959914857,(104.28623581683857-1479.536552647475j)
183802476,bf,btceur,1517543146000,7237.7241464,0.93318079,True,0.00013816497923049354,(-1105.922770967779+457.4774804406522j)
183802480,bf,btceur,1517543146000,7236.599952,2.97286102,True,0.00013818644294254215,(-665.3111953215116+1006.9205523470904j)
183802640,bf,btceur,1517543168000,7234.0303648,0.13110696,True,0.00013823552790652048,(-1021.4595359930496+79.16596925915063j)
183802756,bf,btceur,1517543188000,7204.0,0.2,True,0.0001388117721297802,(760.4417228873929+1058.2146278179484j)
183802819,bf,btceur,1517543191000,7195.8,0.13110696,True,0.00013896995559037822,(-371.28661841118554+600.6035657297438j)
183802881,bf,btceur,1517543194000,7205.1,0.25643366,False,0.00013879057978668954,(257.40132316264476-1247.4554465544925j)
183802907,bf,btceur,1517543195000,7188.1,0.1065,True,0.00013911882228287393,(144.87227490472753-588.9542008110884j)
183802933,bf,btceur,1517543195000,7188.1,0.14993366,True,0.00013911882228287393,(306.49071266477955-2490.883885408141j)
183802904,bf,btceur,1517543195000,7194.0,0.3,True,0.00013900472705597724,(-220.8517066090428-1855.0515026883058j)
183802982,bf,btceur,1517543199000,7188.0,0.3,True,0.0001391207577144473,(-69.58133173954158-870.4377528691391j)
183803083,bf,btceur,1517543203000,7158.93637453,0.6,False,0.00013968555581275047,(2905.81540149054-1966.4235669280674j)
183803148,bf,btceur,1517543204000,7144.39257481,0.6,True,0.00013996991291552233,(915.9374295438184-657.5724131074918j)
183803372,bf,btceur,1517543220000,7144.7514599999995,0.01790138,False,0.00013996288214199756,(-413.8013285604083-542.3270028449205j)
183803495,bf,btceur,1517543231000,7141.3118685,0.424,False,0.00014003029484635347,(1143.2844278247564-218.7056015032943j)
183803499,bf,btceur,1517543231000,7143.951555,0.03864,False,0.00013997855372233789,(1896.1848505575888+217.12176280826034j)
183803497,bf,btceur,1517543231000,7141.551840000001,0.14665,False,0.00014002558952732125,(624.8036511610367+828.4095420784156j)
183803505,bf,btceur,1517543231000,7147.151175,5.88771,False,0.0001399158884484058,(1307.3573493472318+41.9057649535506j)
183803501,bf,btceur,1517543231000,7145.471374500001,0.5,False,0.00013994878071971946,(830.8005984123174+386.59515403010306j)
183803503,bf,btceur,1517543231000,7145.471374500001,0.003,False,0.00013994878071971946,(-1461.4490890024292+224.5863871936986j)
183803670,bf,btceur,1517543247000,7147.0711845,0.01728875,False,0.00013991745439649397,(-799.6723696157001-1578.892080144109j)
183803668,bf,btceur,1517543247000,7147.0711845,0.38,False,0.00013991745439649397,(845.0129834739579-1381.7172594442025j)
183803666,bf,btceur,1517543247000,7146.35127,0.2,False,0.0001399315495062521,(916.4431526570116-205.60228573239576j)
183803672,bf,btceur,1517543247000,7147.151175,6.40271125,False,0.0001399158884484058,(146.17995250254717-109.54129984044864j)
183803754,bf,btceur,1517543252000,7137.0,0.3,True,0.00014011489513015492,(802.4131838967817-329.03135528098494j)
183803806,bf,btceur,1517543259000,7139.9520299999995,0.12905,False,0.0001400569642956517,(1075.5455396429277+977.3513812555439j)
183803810,bf,btceur,1517543259000,7144.671469499999,0.5,False,0.00013996444914213537,(-587.4320188795479-1220.9440485705675j)
183803812,bf,btceur,1517543259000,7144.8314505,0.6,False,0.00013996131517692806,(1027.9490180534563-615.3477093403661j)
183803816,bf,btceur,1517543259000,7148.431023,0.00336323,False,0.0001398908380461793,(779.2475518125544-75.82507704481965j)
183803804,bf,btceur,1517543259000,7137.552315000001,0.03210509,False,0.0001401040528195162,(-382.63803442670184-1892.1484844620766j)
183803802,bf,btceur,1517543259000,7135.952504999999,0.59303163,False,0.00014013546276346782,(-570.2480225395547-563.9628819661853j)
183803820,bf,btceur,1517543259000,7151.0707095,0.24812418,False,0.00013983919991028204,(183.00578130343933+297.7306588569106j)
183803814,bf,btceur,1517543259000,7146.2712795,0.172,False,0.0001399331158048015,(1519.9242179575347-1402.8874666180538j)
183803818,bf,btceur,1517543259000,7150.2708045,0.00335871,False,0.00013985484380406825,(74.54856697414023-422.0766899718326j)
183803808,bf,btceur,1517543259000,7141.071897,0.32799999999999996,False,0.00014003500048177738,(374.17744880970264+990.0443103258468j)
183804023,bf,btceur,1517543272000,7124.0,0.3,True,0.0001403705792486957,(-1215.456214254752+610.1240203349189j)
183804019,bf,btceur,1517543272000,7128.0,0.3,True,0.00014029180787888606,(-40.54738121999988+677.2655023856879j)
183804246,bf,btceur,1517543311000,7153.1,0.055029999999999996,False,0.000139799528388335,(79.25805856804075-203.96518933377936j)
183804244,bf,btceur,1517543311000,7153.1,0.02563209,False,0.000139799528388335,(899.0453911366862-948.7315912202823j)
183804275,bf,btceur,1517543311000,7153.1,0.01933791,False,0.000139799528388335,(-47.08734258426829-814.2940064868264j)
183804492,bf,btceur,1517543322000,7159.7,0.1,False,0.00013967065750001426,(-1109.2243810888142+171.36296684431275j)
183804564,bf,btceur,1517543329000,7155.950129999999,0.00696384,True,0.00013974384789474954,(-842.9324313222783+1349.0657129707722j)
183804562,bf,btceur,1517543329000,7159.389721500001,0.02,True,0.00013967671064203915,(-969.6555289577127-412.42164192657265j)
183804568,bf,btceur,1517543329000,7154.990244,0.015,True,0.0001397625953927769,(328.49191556179255-1161.9837999767267j)
183804558,bf,btceur,1517543329000,7160.1896265000005,1.0,True,0.00013966110657190605,(469.3162433739255+247.4611026371277j)
183804573,bf,btceur,1517543329000,7153.6,0.6606,False,0.00013978975711716424,(-403.26769177232626-1063.3907796085725j)
183804572,bf,btceur,1517543329000,7154.3503200000005,0.02310234,True,0.0001397750965195348,(-1311.327337091603-166.57095640765593j)
183804560,bf,btceur,1517543329000,7159.469712,0.6606,True,0.00013967515007805057,(-748.8988756185583-1092.4939274907633j)
183804570,bf,btceur,1517543329000,7154.990244,0.018000000000000002,True,0.0001397625953927769,(1198.0787750634781-298.66595768853495j)
183804576,bf,btceur,1517543329000,7153.6,0.06655084,False,0.00013978975711716424,(85.16812005092207-602.047973282187j)
183804566,bf,btceur,1517543329000,7155.2302155,0.5,True,0.00013975790804670628,(105.77142126652713-1489.2049555654758j)
183804578,bf,btceur,1517543329000,7153.6,0.01534493,False,0.00013978975711716424,(1252.553311904403-418.0137156124829j)
183804619,bf,btceur,1517543331000,7171.0,0.3,False,0.00013945056567871101,(1114.8546130738196-785.1955885438144j)
183804610,bf,btceur,1517543331000,7169.1,0.03602238,False,0.00013948752374573085,(296.8272978987577+1411.6308531325835j)
183804649,bf,btceur,1517543333000,7170.8,0.08972348,False,0.0001394544550792757,(-1707.7643606627548-715.6855647554089j)
183804660,bf,btceur,1517543335000,7171.5,0.47425414,False,0.0001394408431264759,(577.8438738094595+927.3174280364417j)
183804671,bf,btceur,1517543335000,7155.5,0.595039,True,0.0001397526387408143,(754.9691509573718-135.6060853456935j)
183804777,bf,btceur,1517543350000,7159.0,0.3,True,0.0001396843143600713,(703.9954117954296-481.5569138281911j)
183804849,bf,btceur,1517543358000,7157.5,0.1,True,0.00013971358805539943,(700.3103801936054-897.7882515722619j)
183804911,bf,btceur,1517543363000,7153.9,0.1,True,0.0001397838950101287,(-104.88758193908428+166.62994530257512j)
